SAMPLE	ReplicateID	READdata
SP01_S288C_WT_50ng	1	stripeseq/SRR10759416
SP02_S288C_WT_50ng	2	stripeseq/SRR10759417
SP03_S288C_WT_50ng	3	stripeseq/SRR10759418
SP04_S288C_WT_100ng	4	stripeseq/SRR10759419
SP05_S288C_WT_100ng	5	stripeseq/SRR10759420
SP06_S288C_WT_100ng	6	stripeseq/SRR10759421
SP07_S288C_WT_250ng	7	stripeseq/SRR10759422
SP08_S288C_WT_250ng	8	stripeseq/SRR10759423
SP09_S288C_WT_250ng	9	stripeseq/SRR10759424
SP28_S288C_Diamide_100ng	10	stripeseq/SRR10759425
SP29_S288C_Diamide_100ng	11	stripeseq/SRR10759426
SP30_S288C_Diamide_100ng	12	stripeseq/SRR10759427
