SAMPLE	ReplicateID	READdata
SP01_S288C_WT_50ng	1	stripeseq/GSF2268-SP01_S1
SP02_S288C_WT_50ng	2	stripeseq/GSF2268-SP02_S2
SP03_S288C_WT_50ng	3	stripeseq/GSF2268-SP03_S3
SP04_S288C_WT_100ng	4	stripeseq/GSF2268-SP04_S4
SP05_S288C_WT_100ng	5	stripeseq/GSF2268-SP05_S5
SP06_S288C_WT_100ng	6	stripeseq/GSF2268-SP06_S6
SP07_S288C_WT_250ng	7	stripeseq/GSF2268-SP07_S7
SP08_S288C_WT_250ng	8	stripeseq/GSF2268-SP08_S8
SP09_S288C_WT_250ng	9	stripeseq/GSF2268-SP09_S9
SP28_S288C_Diamide_100ng	10	stripeseq/GSF2268-SP28_S28
SP29_S288C_Diamide_100ng	11	stripeseq/GSF2268-SP29_S29
SP30_S288C_Diamide_100ng	12	stripeseq/GSF2268-SP30_S30
